Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
26/02/95,Relax Korotan,Živila Naklo,3,1,H
26/02/95,Mura,Gorica,3,2,H
26/02/95,Primorje,Potrošnik Beltinci,1,0,H
26/02/95,Gaj Kočevje,Jadran Dekani,3,3,D
26/02/95,Olimpija Ljubljana,Izola,7,0,H
26/02/95,Rudar Velenje,Maribor,1,0,H
26/02/95,Set Vevče,Celje,0,1,A
04/03/95,Jadran Dekani,Primorje,0,1,A
05/03/95,Potrošnik Beltinci,Mura,3,1,H
05/03/95,Gorica,Relax Korotan,1,0,H
05/03/95,Živila Naklo,Koper,1,2,A
05/03/95,Ljubljana,Celje,1,2,A
05/03/95,Rudar Velenje,Set Vevče,3,1,H
05/03/95,Maribor,Olimpija Ljubljana,0,2,A
05/03/95,Izola,Gaj Kočevje,1,1,D
11/03/95,Celje,Živila Naklo,3,0,H
12/03/95,Set Vevče,Ljubljana,0,1,A
12/03/95,Koper,Gorica,0,1,A
12/03/95,Relax Korotan,Potrošnik Beltinci,1,0,H
12/03/95,Mura,Jadran Dekani,2,0,H
12/03/95,Primorje,Izola,2,0,H
12/03/95,Gaj Kočevje,Maribor,0,3,A
12/03/95,Olimpija Ljubljana,Rudar Velenje,2,1,H
18/03/95,Jadran Dekani,Relax Korotan,1,5,A
19/03/95,Potrošnik Beltinci,Koper,0,0,D
19/03/95,Živila Naklo,Ljubljana,0,1,A
19/03/95,Gorica,Celje,2,1,H
19/03/95,Olimpija Ljubljana,Set Vevče,7,1,H
19/03/95,Rudar Velenje,Gaj Kočevje,5,0,H
19/03/95,Izola,Mura,0,1,A
19/03/95,Maribor,Primorje,2,1,H
25/03/95,Celje,Potrošnik Beltinci,2,2,D
25/03/95,Ljubljana,Gorica,1,2,A
25/03/95,Mura,Maribor,0,0,D
25/03/95,Primorje,Rudar Velenje,1,1,D
25/03/95,Gaj Kočevje,Olimpija Ljubljana,1,2,A
26/03/95,Set Vevče,Živila Naklo,1,0,H
26/03/95,Koper,Jadran Dekani,2,0,H
26/03/95,Relax Korotan,Izola,7,0,H
01/04/95,Jadran Dekani,Celje,0,3,A
02/04/95,Gaj Kočevje,Set Vevče,1,3,A
02/04/95,Olimpija Ljubljana,Primorje,7,2,H
02/04/95,Rudar Velenje,Mura,1,0,H
02/04/95,Maribor,Relax Korotan,1,0,H
02/04/95,Izola,Koper,0,1,A
02/04/95,Potrošnik Beltinci,Ljubljana,7,2,H
02/04/95,Gorica,Živila Naklo,1,1,D
08/04/95,Set Vevče,Gorica,0,2,A
09/04/95,Živila Naklo,Potrošnik Beltinci,2,0,H
09/04/95,Ljubljana,Jadran Dekani,2,0,H
09/04/95,Koper,Maribor,0,0,D
09/04/95,Relax Korotan,Rudar Velenje,0,0,D
09/04/95,Mura,Olimpija Ljubljana,1,0,H
09/04/95,Primorje,Gaj Kočevje,6,0,H
09/04/95,Celje,Izola,1,0,H
15/04/95,Primorje,Set Vevče,2,1,H
15/04/95,Gaj Kočevje,Mura,1,1,D
15/04/95,Olimpija Ljubljana,Relax Korotan,1,0,H
15/04/95,Rudar Velenje,Koper,1,0,H
15/04/95,Izola,Ljubljana,1,0,H
15/04/95,Jadran Dekani,Živila Naklo,0,1,A
15/04/95,Potrošnik Beltinci,Gorica,0,0,D
15/04/95,Maribor,Celje,3,1,H
